agebin	5th	Median	95th
463	6.1290768837E-005	0.0003687924	0.0041383737
462	6.19521954278E-005	0.0003716698	0.0041585453
461	6.22865562307E-005	0.0003745214	0.004174703
460	6.27312147786E-005	0.0003777369	0.0041989978
459	6.3276368389E-005	0.0003811782	0.0042276071
458	6.37033498695E-005	0.000384352	0.004240857
457	6.40962524933E-005	0.000387558	0.0042671524
456	6.44246709434E-005	0.0003906916	0.0042930791
455	6.4642185425E-005	0.0003940226	0.0043170552
454	6.50136144962E-005	0.0003970364	0.0043273223
453	0.000065243	0.000400288	0.0043447597
452	6.55741112747E-005	0.0004030195	0.0043706093
451	6.59253534435E-005	0.0004061773	0.0043987163
450	6.61254701636E-005	0.0004101951	0.0044185738
449	6.64094729587E-005	0.0004138777	0.0044361992
448	6.6673571081E-005	0.0004175038	0.0044589822
447	6.68452376578E-005	0.0004208468	0.0044745134
446	6.71243339286E-005	0.0004248799	0.0045025461
445	0.000067342	0.0004295656	0.0045237325
444	6.76651917348E-005	0.0004334887	0.0045465981
443	6.7979891609E-005	0.0004374273	0.0045681993
442	6.82778268437E-005	0.0004426825	0.0045873839
441	6.85276521939E-005	0.0004472266	0.0046045121
440	6.87176053043E-005	0.000452026	0.004626324
439	6.9052731256E-005	0.0004566462	0.0046589164
438	6.92498604193E-005	0.0004615491	0.0046821509
437	6.9512442404E-005	0.0004670897	0.0047109578
436	6.97792625975E-005	0.0004726289	0.0047311023
435	0.000069978	0.0004775629	0.004746785
434	0.000070268	0.0004824583	0.004766215
433	7.05314007454E-005	0.0004891253	0.0047949881
432	7.07371075093E-005	0.0004955903	0.0048172211
431	7.10291385624E-005	0.0005027017	0.0048383463
430	7.12763778629E-005	0.0005096102	0.0048724802
429	7.14524726745E-005	0.000515997	0.0048891229
428	7.16522188281E-005	0.0005235168	0.0049138836
427	7.18525934557E-005	0.0005316813	0.0049353646
426	7.20652650772E-005	0.000542445	0.0049643885
425	7.22050902551E-005	0.000549469	0.0050018597
424	7.24961779497E-005	0.0005567741	0.0050231447
423	7.26393335114E-005	0.0005646872	0.0050460226
422	7.28152612882E-005	0.0005730592	0.0050686039
421	7.29874230381E-005	0.0005824983	0.0050839843
420	7.31345292928E-005	0.0005907059	0.0051147358
419	0.00007331	0.0006031587	0.005136126
418	7.35488996432E-005	0.0006146946	0.0051601329
417	7.38428008042E-005	0.0006260156	0.0051833785
416	7.40815400981E-005	0.0006382558	0.0052155403
415	0.000074309	0.0006525643	0.0052465796
414	7.45366420903E-005	0.000667687	0.0052800988
413	7.47606628984E-005	0.0006809893	0.0053036391
412	7.4946460799E-005	0.0006963584	0.0053324004
411	7.51338290605E-005	0.0007108981	0.0053627177
410	7.53994355056E-005	0.000730189	0.0053869087
409	7.56672762406E-005	0.0007499527	0.0054131853
408	0.000075865	0.0007685516	0.0054375852
407	7.61176689399E-005	0.0007922763	0.005462175
406	7.63815014917E-005	0.0008136149	0.0054974897
405	7.66634633839E-005	0.0008346974	0.0055300269
404	0.000076914	0.0008572588	0.0055597625
403	7.7159645408E-005	0.0008779395	0.0055907724
402	7.73206348619E-005	0.0009010648	0.0056254304
401	7.75016450445E-005	0.0009226838	0.0056521054
400	7.78126205949E-005	0.0009382197	0.0056780709
399	0.000078079	0.0009565679	0.0057001096
398	7.82660637887E-005	0.0009756726	0.0057269556
397	7.84726847414E-005	0.0009905409	0.0057572738
396	7.87151135891E-005	0.0010084941	0.0057985364
395	7.9027627695E-005	0.0010242975	0.0058356351
394	7.92275552382E-005	0.00103894	0.0058620745
393	7.93706106735E-005	0.0010510678	0.0058908492
392	7.96233900204E-005	0.0010638501	0.0059315305
391	0.000079894	0.0010770143	0.0059863419
390	8.02231376175E-005	0.0010909661	0.0060184307
389	8.04490574368E-005	0.0011078896	0.0060582045
388	8.08160617082E-005	0.0011229395	0.0060930106
387	0.000081107	0.00113599	0.006124596
386	8.13314662496E-005	0.0011493038	0.0061670224
385	8.15691239816E-005	0.0011635602	0.0062022851
384	0.000081725	0.0011743164	0.0062357893
383	8.19593274453E-005	0.0011871622	0.0062703926
382	8.21153551322E-005	0.0012003338	0.0063054323
381	8.23786429744E-005	0.0012154063	0.0063510396
380	8.25643966436E-005	0.0012264788	0.0063837069
379	8.2814888418E-005	0.0012368405	0.006418446
378	0.000083112	0.0012496317	0.006454725
377	8.34435483314E-005	0.001263924	0.0064921558
376	0.000083667	0.0012760161	0.0065283712
375	8.38582204548E-005	0.0012889353	0.0065791561
374	8.40890645176E-005	0.0013013713	0.006610446
373	8.4250380705E-005	0.00131511	0.0066511676
372	8.44760819003E-005	0.0013274494	0.0066796352
371	8.46408598622E-005	0.0013410976	0.0067196835
370	8.48332987953E-005	0.0013544954	0.006761037
369	0.000085132	0.0013663498	0.0067980965
368	8.53421315679E-005	0.0013784308	0.0068516814
367	0.000085593	0.0013907153	0.0068922468
366	8.58125253826E-005	0.0014041827	0.006930081
365	8.60983884157E-005	0.0014151173	0.0069635338
364	8.63275458374E-005	0.0014269211	0.007005289
363	8.65153097739E-005	0.0014408905	0.0070629069
362	0.000086746	0.0014536865	0.0070987557
361	8.69484699918E-005	0.0014673575	0.0071494869
360	8.71043616543E-005	0.0014796035	0.0071962291
359	8.72887877758E-005	0.0014915157	0.0072277847
358	0.000087532	0.0015048383	0.0072877506
357	8.7772394304E-005	0.0015207183	0.0073418359
356	8.79726634881E-005	0.0015325441	0.0073934269
355	8.81692750983E-005	0.0015460614	0.0074298611
354	8.84008717971E-005	0.0015583608	0.0074740811
353	8.86432814715E-005	0.0015714028	0.007525293
352	8.88683788575E-005	0.0015848536	0.0075733581
351	8.91825073792E-005	0.0015980386	0.0076382267
350	8.94366997276E-005	0.0016106404	0.007678094
349	8.97061670101E-005	0.0016244652	0.0077161693
348	9.00022442597E-005	0.0016383987	0.0077716054
347	9.02278962505E-005	0.0016517685	0.0078369166
346	9.04741543686E-005	0.0016680327	0.0078982984
345	9.07625730354E-005	0.001681122	0.0079534202
344	9.09710935856E-005	0.0016932022	0.0080094639
343	9.12783248846E-005	0.0017071309	0.0080996162
342	9.17571812972E-005	0.0017202513	0.008148426
341	9.20795158483E-005	0.0017365934	0.0082035459
340	9.23631373761E-005	0.0017501693	0.0082496906
339	9.27075074063E-005	0.0017644272	0.0083161543
338	9.30965448077E-005	0.0017807769	0.008407772
337	9.34405286291E-005	0.0017957005	0.0084871299
336	9.3926367488E-005	0.0018112253	0.0085613888
335	9.414273672E-005	0.0018255074	0.0086184493
334	9.43606216285E-005	0.0018386863	0.0086802516
333	9.47215307879E-005	0.0018543542	0.0087369698
332	9.49057612947E-005	0.0018690458	0.0087966369
331	9.51807398164E-005	0.00188253	0.0088542106
330	9.55866257608E-005	0.001896637	0.0089092002
329	9.59652025135E-005	0.0019115906	0.0089943891
328	9.62439009198E-005	0.0019272268	0.0090621155
327	9.66046466745E-005	0.0019407004	0.0091274558
326	9.69355870635E-005	0.0019580124	0.0092105539
325	9.73604131669E-005	0.0019762522	0.009270608
324	9.76868293903E-005	0.0019914656	0.009350266
323	0.000098017	0.0020082191	0.0094324901
322	9.84586155876E-005	0.0020227327	0.0095186712
321	0.000098917	0.0020399572	0.0096187039
320	9.92981128022E-005	0.0020564583	0.0097016205
319	9.97442205306E-005	0.0020717053	0.0097769833
318	0.0001001162	0.0020884172	0.009873483
317	0.0001005358	0.0021034933	0.0099732725
316	0.0001011435	0.0021202664	0.0100658398
315	0.0001016403	0.0021361245	0.0101398985
314	0.0001020994	0.0021530258	0.0102438904
313	0.000102529	0.0021716856	0.0103371171
312	0.0001031301	0.0021868899	0.0104163955
311	0.0001035883	0.0022071428	0.0105156786
310	0.0001041871	0.0022288686	0.0106343221
309	0.0001047128	0.0022469247	0.0107582344
308	0.0001053588	0.0022668967	0.0108996527
307	0.0001058467	0.0022859319	0.0110141706
306	0.0001064207	0.0023064828	0.0111714463
305	0.0001069876	0.002322936	0.0112630313
304	0.0001076643	0.002344504	0.0113878545
303	0.0001080873	0.0023626177	0.0115059308
302	0.0001088251	0.0023826889	0.0116558354
301	0.0001093671	0.002401939	0.0117898742
300	0.0001099028	0.0024216443	0.011943934
299	0.0001106274	0.0024427457	0.0120616835
298	0.0001110691	0.0024614089	0.0121887009
297	0.0001121008	0.0024799116	0.0123545905
296	0.0001126895	0.0025032406	0.0125084207
295	0.0001134512	0.0025244081	0.0126575639
294	0.0001143444	0.0025469655	0.0127952968
293	0.0001150696	0.0025681984	0.0129412061
292	0.0001160431	0.0025893164	0.0131307937
291	0.0001168367	0.0026127249	0.0132887376
290	0.0001175601	0.0026355818	0.0134863839
289	0.00011861	0.0026600384	0.0136864412
288	0.0001197486	0.0026852207	0.0138774097
287	0.0001204875	0.0027088063	0.0140973518
286	0.0001214394	0.0027304082	0.0143098775
285	0.0001225552	0.0027517044	0.0144921704
284	0.0001236643	0.0027765738	0.0147001694
283	0.0001248432	0.0028031461	0.0149067218
282	0.0001261752	0.002831733	0.0151215821
281	0.0001274425	0.0028559982	0.0153486813
280	0.0001286645	0.0028849584	0.0155814122
279	0.0001296405	0.0029120957	0.0158303004
278	0.0001309912	0.0029429737	0.0160872808
277	0.0001324214	0.0029749035	0.016336948
276	0.0001339249	0.0030028991	0.0166065188
275	0.0001355324	0.0030279162	0.0168455872
274	0.0001371034	0.0030566261	0.017115953
273	0.0001381396	0.0030834578	0.0173929268
272	0.0001398816	0.0031139657	0.0176615856
271	0.0001413414	0.0031468698	0.017929939
270	0.0001432392	0.0031798357	0.0182777906
269	0.0001453285	0.0032166225	0.0186155015
268	0.0001479486	0.0032521082	0.0189343257
267	0.000149835	0.0032897593	0.0192189166
266	0.0001524709	0.0033257636	0.0196131572
265	0.0001544876	0.0033615441	0.0200116438
264	0.0001569278	0.0034035038	0.0204020119
263	0.000159501	0.0034508361	0.0207582574
262	0.000161407	0.0034969601	0.0211111092
261	0.0001637625	0.0035394059	0.0214639164
260	0.0001655192	0.0035856426	0.0218695615
259	0.0001686064	0.003633723	0.0223159153
258	0.0001708686	0.003679139	0.0227227345
257	0.0001733527	0.0037296935	0.0231827806
256	0.000176064	0.0037785382	0.0236085663
255	0.0001791572	0.0038423854	0.0241129848
254	0.0001824047	0.0038953564	0.0245842854
253	0.0001859569	0.0039509858	0.0250786169
252	0.0001894122	0.0040166547	0.0255925049
251	0.0001926516	0.0040772883	0.0260862634
250	0.0001976456	0.0041379965	0.0266150365
249	0.0002024978	0.0042066818	0.0272106484
248	0.0002067833	0.004280651	0.0277299582
247	0.0002111782	0.0043471	0.0282593851
246	0.0002161645	0.0044191965	0.0289335913
245	0.0002217871	0.0045010439	0.0294741314
244	0.0002293453	0.004575938	0.0301236991
243	0.0002384958	0.0046677663	0.0308463133
242	0.0002459963	0.0047616438	0.0315527336
241	0.0002527862	0.0048565469	0.0322587356
240	0.0002609391	0.0049555882	0.0329491019
239	0.0002716452	0.0050641036	0.0337871119
238	0.0002805275	0.0051679584	0.0345516142
237	0.000294019	0.0052947875	0.0354365136
236	0.000304611	0.0054102767	0.0363476686
235	0.0003197041	0.0055417725	0.0372805214
234	0.0003381863	0.0056767799	0.0380785037
233	0.0003560728	0.0058215572	0.0390805134
232	0.0003802744	0.0059876344	0.0402177277
231	0.0003989027	0.0061547991	0.0414019651
230	0.0004211331	0.0063398547	0.042694364
229	0.0004470606	0.006502251	0.0438963321
228	0.0004722108	0.0067025647	0.0453188567
227	0.0005036359	0.0069115304	0.0466897745
226	0.0005351684	0.0071470276	0.048152255
225	0.0005703861	0.007405952	0.0496344158
224	0.0006067244	0.0076616546	0.0513014785
223	0.0006471602	0.0079476931	0.0526376715
222	0.0006893569	0.0082413291	0.054464538
221	0.0007325752	0.008585971	0.0563037683
220	0.0007826267	0.0089317963	0.0585116417
219	0.0008265872	0.0093493794	0.0609580983
218	0.0008698515	0.0097876976	0.0634209736
217	0.0009132869	0.010268329	0.0660567777
216	0.0009530538	0.0107476376	0.06851535
215	0.0009859545	0.0113125032	0.0716004028
214	0.0010150872	0.0118590473	0.0747994458
213	0.0010480026	0.0124790339	0.078199041
212	0.0010764404	0.0131034707	0.0818455183
211	0.0011063283	0.013805074	0.0857960624
210	0.0011377895	0.0146203685	0.0902227442
209	0.0011726521	0.0155047011	0.095354733
208	0.0012114406	0.0163627425	0.1005715701
207	0.0012484691	0.0173097443	0.1061564302
206	0.0012882779	0.018296628	0.112425337
205	0.0013207514	0.0192369501	0.1190584922
204	0.0013646199	0.0203496018	0.1261341434
203	0.0014070284	0.0214312897	0.1340352542
202	0.0014615102	0.0225770096	0.1428531989
201	0.0015080237	0.0238810273	0.1538401594
200	0.0015651466	0.0251928813	0.1646048787
199	0.0016269314	0.0265904221	0.1757853487
198	0.0016888128	0.028084175	0.1886819749
197	0.0017697964	0.0298067043	0.2021279774
196	0.001848528	0.0316178979	0.2159908278
195	0.0019446331	0.0335811815	0.2324040543
194	0.0020556996	0.0357002228	0.2488556376
193	0.0021650985	0.0379020279	0.2669589041
192	0.0023098756	0.0403700662	0.2862417846
191	0.0024517338	0.0431190637	0.3076754518
190	0.0026224025	0.0461423326	0.3321137557
189	0.0028512548	0.0494439462	0.3578252512
188	0.0030761085	0.0528106406	0.3847482914
187	0.0033521074	0.0562437719	0.416918039
186	0.0036366986	0.0605235678	0.4465800895
185	0.0039345215	0.0647290933	0.4756050171
184	0.0043152083	0.0694808831	0.5127115331
183	0.0047815719	0.0745194581	0.5506773248
182	0.005333964	0.0797266286	0.599026548
181	0.0060429014	0.0856453548	0.6380315877
180	0.0067975477	0.0913385327	0.6864383036
179	0.0077466009	0.0975232364	0.7467111134
178	0.0089152984	0.1039611751	0.8162236855
177	0.0102024328	0.1108656298	0.8811001
176	0.0115432076	0.118154313	0.9586721389
175	0.0131221634	0.1251354599	1.0414205869
174	0.0144653141	0.1318819972	1.1103937055
173	0.0160283398	0.1396573388	1.2070154422
172	0.0174725455	0.1476686704	1.3055563514
171	0.0189545062	0.1565380458	1.4064757086
170	0.0203194772	0.1653763712	1.5516970878
169	0.021617286	0.173411005	1.6415093693
168	0.0230522317	0.1827553626	1.7894577061
167	0.0242720753	0.1920294309	1.9346686593
166	0.0256032082	0.2006347788	2.0714215329
165	0.026673597	0.2105571273	2.2898009808
164	0.0276438201	0.2212607552	2.3875078694
163	0.0285305558	0.2320784433	2.5885562542
162	0.0293146771	0.2432910829	2.7580975605
161	0.0298590874	0.2536145838	2.9011379625
160	0.0303918184	0.2633330295	3.0460081272
159	0.0309464211	0.2739683625	3.145561805
158	0.0312822185	0.2821278445	3.3865820106
157	0.0316217461	0.290559105	3.4921405076
156	0.0318952431	0.2994245373	3.5733285457
155	0.0320461153	0.3067673469	3.6962328174
154	0.0319566571	0.3144809665	3.7926167455
153	0.0317736931	0.3204108665	3.8392954128
152	0.0315690343	0.3237812838	3.9755457679
151	0.0312308127	0.3234361402	3.8806976795
150	0.0307092958	0.3231186158	3.9167135345
149	0.030261971	0.3236099951	3.9330098227
148	0.0298382097	0.3231449362	3.9758155357
